,mu1,lam1,mu2,sigma2,mu3,sigma3,w1,w2,w3,Target,Stimulation
0,0.03784437651260062,0.024375285118764314,0.054515121510049155,0.0353183693034603,0.33260171795054255,0.3468643961368833,0.7493138539071247,0.25068612950085417,1.6592021115920668e-08,0.0,0.0
0,0.03637637334510053,0.024976021577591524,0.05347330582604492,0.041639413346449765,0.34081684709379284,0.31517057064758647,0.7124624003213517,0.28753759432376724,5.354881072813422e-09,0.0,0.0
0,0.03584414249879255,0.023211854104738402,0.05260916398207945,0.03912213497457173,0.34083818239669206,0.3262261376125417,0.7011400040718672,0.29885995943560884,3.6492524011977637e-08,0.0,0.0
0,0.03668066946071891,0.025727752280829193,0.052267861620560525,0.03821962095178933,0.34341089835901367,0.3367658976022435,0.7473927495494024,0.25260723978955996,1.0661037735391855e-08,0.0,0.0
0,0.03683507203373955,0.024035146184885416,0.0527306597250381,0.037418189716624695,0.3419122318074253,0.3273478819225067,0.7009234386289396,0.29907655639741376,4.973646722161487e-09,0.0,0.0
0,0.05413211140592687,0.028804535810317257,1.2462677451861734e-06,0.10974701780460079,0.2595488356047159,0.05269881065648947,0.48904333348550494,0.5109566664936627,2.0832336818947023e-11,0.0,0.0
0,0.05973368736013719,0.02706475431035329,0.036578309328295415,0.08500345227633671,0.31961401002060047,0.17154560552519696,0.5070346255307969,0.492949550434968,1.5824034235043355e-05,0.0,0.0
0,0.05354900159025069,0.028473326711733856,0.055350733830343696,0.07384684400154326,0.3163826762145302,0.146359140488305,0.5723054412519858,0.42769432334087454,2.3540713963322705e-07,0.0,0.0
0,0.059311345255440316,0.02930169947135986,3.5493776739899214e-05,0.1132651487677809,0.3117916115816769,0.13293925296470294,0.42799845488942845,0.5719901939141778,1.1351196393669567e-05,0.0,0.0
0,0.0556085195800344,0.026632981140427794,0.06687734516254784,0.06258880277324683,0.31352900153244334,0.16170854693324382,0.5811047435510958,0.41889518577084284,7.067806144046312e-08,0.0,0.0
0,0.06446105796644354,0.02668609280162999,0.07413163081642744,0.05138499994516335,0.20000140102213632,0.08735096147324899,0.48837958967794254,0.3439722259940236,0.16764818432803394,0.0,0.0
0,0.055305070639232554,0.024354688789392148,0.06963858356718186,0.05026340072702987,0.2,0.09860493280083005,0.4109711081340161,0.40919337017497587,0.17983552169100808,0.0,0.0
0,0.06061129837778449,0.02798905842048102,0.06561381412916938,0.05979631706747232,0.20004805952950877,0.1339923638309567,0.3850934356593802,0.43237432672474885,0.18253223761587092,0.0,0.0
0,0.07232958503892466,0.03473474443248853,0.05434799953554506,0.08263594819171176,0.20001178074726259,0.13932020963203123,0.3547900015369002,0.4415988276078233,0.20361117085527644,0.0,0.0
0,0.08074555730093173,0.040790891827197855,5.1984799245408153e-05,0.11763432904231977,0.3160182431516423,0.017043925087242597,0.46794081365199774,0.5244128807617096,0.007646305586292798,0.0,0.0
0,0.04948602157034542,0.02639756339164841,0.05930334640945157,0.06916580005797585,0.20000218455019106,0.12609867509437364,0.3555266782219429,0.5544498515745753,0.09002347020348198,0.0,0.0
0,0.058503507879526066,0.0287990063226312,0.001932007102402728,0.10716944530331891,0.3184351191888081,0.1400363612675326,0.4958903055618345,0.5041020820884514,7.6123497140809675e-06,0.0,0.0
0,0.058711493360177454,0.02707685498099883,0.03796572705371541,0.1024192319203399,0.3233285529891423,0.1648651203486662,0.4655067858872933,0.5344589398420072,3.4274270699429205e-05,0.0,0.0
0,0.053925709998938365,0.02770563383177744,0.04683664320488443,0.07538609312820671,0.31706953403790555,0.17342048565766682,0.5424206977108786,0.45757926151922407,4.0769897370371884e-08,0.0,0.0
0,0.054528641484503065,0.026981232409652743,0.06456000021952062,0.06156817188362558,0.3136812748715826,0.15748448519685654,0.6048358701744948,0.3951640808452927,4.898021263252082e-08,0.0,0.0
0,0.030445235025962507,0.022266081966134096,0.04611534732309269,0.027813762351978126,0.33197072088918095,0.3682802947904288,0.7404501012711037,0.25954989104082227,7.688074081425962e-09,0.0,0.0
0,0.0310406566613057,0.023105662065346852,0.04471722892920525,0.03132316855682285,0.33232118160824703,0.3742072803339863,0.7773480589293998,0.22265193575689227,5.313707969502714e-09,0.0,0.0
0,0.03135726070165079,0.02391387275373393,0.04800907939002984,0.03160900325284825,0.3174677975310518,0.39258614068379405,0.7843220119877334,0.2156779827626472,5.249619299171729e-09,0.0,0.0
0,0.03142148239247443,0.021507429238739745,0.04773593961213698,0.029001622965516147,0.33222878467794154,0.3701766635991375,0.7666218016718586,0.23337818778420752,1.0543933945529386e-08,0.0,0.0
0,0.031486044078476674,0.023390534600250493,0.04546537341104683,0.027768173896939384,0.32415132142615655,0.38808217307867116,0.7976820164610118,0.2023179778716132,5.66737491538338e-09,0.0,0.0
0,0.03182868233654816,0.022885987270989575,0.04881618650386245,0.03091206086386463,0.3233951711007006,0.3730702013042481,0.7983391355674856,0.20166085942993411,5.0025803385265835e-09,0.0,0.0
0,0.04181551855332854,0.026136042129106783,0.04823236338348746,0.06080432778985492,0.35562746540366186,0.23701575576033396,0.6422148679925893,0.35778512347063063,8.536780049014316e-09,0.0,0.0
0,0.031657498013428764,0.02354584701488973,0.047397483741078786,0.027816078615849463,0.33885774105132793,0.37792268492734366,0.7790257857686705,0.22097418732046348,2.6910865923989122e-08,0.0,0.0
0,0.031836552848682115,0.023247217885709576,0.046757457882198955,0.025604169064639026,0.3278200287233313,0.3839177219810839,0.7896325629363161,0.21036741790291785,1.9160766036697762e-08,0.0,0.0
0,0.030918194150174882,0.02258975083337205,0.04562949372626115,0.029612854264173843,0.32864701417961634,0.3815865861834347,0.7754458223738453,0.2245541649278923,1.2698262319753257e-08,0.0,0.0
0,0.05068380187239973,0.027146735589918963,0.060117843862729364,0.05339987810070899,0.32735044710291383,0.23978383574522244,0.6635398903505877,0.3364600921871291,1.746228329484062e-08,0.0,0.0
0,0.049164228537590095,0.025792843175080658,0.05623201261960691,0.050881145260187215,0.32495577710263157,0.2620283962108635,0.6814327441667474,0.3185672479449684,7.888284193830204e-09,0.0,0.0
0,0.04813881785904729,0.027047447149241885,0.028257926557863862,0.0804373341880088,0.32060198977693144,0.2399920720782874,0.5158402141604194,0.4841597611464476,2.4693133107775444e-08,0.0,0.0
0,0.057917463745533464,0.02833668107544909,4.2820272130705845e-07,0.10259984582550022,0.23481483559450628,0.020162103402963705,0.4864685939069077,0.5135314060929905,1.0183928888972878e-13,0.0,0.0
0,0.07513352115699631,0.037428047519912855,3.50861832320728e-05,0.10240670746095416,0.20026616301020392,0.12886670462396194,0.3302815620132009,0.5660728477215444,0.10364559026525473,0.0,0.0
0,0.06984164379150333,0.030594194312891433,0.06699255004590816,0.0628884963506913,0.2000012046254781,0.12126291181030394,0.405700457100829,0.41417068999524287,0.18012885290392813,0.0,0.0
0,0.06975855884635475,0.027774335665717857,0.07626221819909305,0.05499040690148892,0.20000024546674094,0.10034709229974959,0.4087259191390923,0.4254868145944537,0.16578726626645396,0.0,0.0
