,mu1,lam1,mu2,sigma2,mu3,sigma3,w1,w2,w3,Target,Stimulation
0,0.029999979944725367,0.04999999534512606,0.05000000567100853,0.08286098198342756,0.10000000002558528,0.27827420679654136,0.10607708339330393,0.5040201878116481,0.38990272879504784,1.0,0.0
0,0.02999999263521146,0.04999986229537864,0.050000000027273464,0.10082134127655377,0.10000000000038468,0.31508043439675615,0.10926510210494202,0.5739693181455137,0.31676557974954445,1.0,0.0
0,0.029999997443470167,0.04999999656738704,0.05000000000499229,0.10168517474802242,0.10000000000501674,0.3159126662584496,0.11503677560069354,0.5834793574328196,0.3014838669664868,1.0,0.0
0,0.02999999106836786,0.03071590501882166,0.050000000033727746,0.10002542709312633,0.10000000009462329,0.3248969423141373,0.12440172561948769,0.5836667763735882,0.29193149800692414,1.0,0.0
0,0.02999999136634413,0.04999999954508028,0.05000000207988851,0.11157007383761873,0.10000019158280316,0.3154422395420037,0.11676434452083301,0.5925965695337116,0.29063908594545523,1.0,0.0
0,0.029999773548471016,0.022016103064508945,0.05000000000722956,0.09212087067373255,0.1,0.3906885952191951,0.06860743190825763,0.48224518553259466,0.44914738255914777,1.0,0.0
0,0.029999999942729016,0.029566993860886397,0.05000000076599081,0.13168954087920431,0.10000076607049341,0.3230136704495377,0.14178370143346997,0.6014522533359455,0.2567640452305845,1.0,0.0
0,0.029999999985355148,0.04999999999819188,0.05000000000648406,0.1460004592285605,0.10000013990294508,0.4453825587270949,0.11511953508365397,0.6575926945848256,0.22728777033152042,1.0,0.0
0,0.02999999466131003,0.04999999981376464,0.05000000238653559,0.17914673001359877,0.10000007201114999,0.4272083909243241,0.07385543343741803,0.6493777465603273,0.2767668200022546,1.0,0.0
0,0.029999981185705685,0.049999998667986406,0.05000000323897346,0.16516346773527998,0.1000000427538314,0.42850558095445856,0.05030384466770008,0.5654449332086039,0.3842512221236959,1.0,0.0
0,0.029999999999785358,0.028653368114201484,0.05000000838834917,0.1999590213052496,0.10000021142608671,0.41542442644784455,0.09617747569735621,0.5471369883545064,0.35668553594813734,1.0,0.0
0,0.0299999916515294,0.03225954376998942,0.06894471006202016,0.14980989561702499,0.10000070583374532,0.3885087431707899,0.061029414591757675,0.48893737558177797,0.4500332098264645,1.0,0.0
0,0.03,0.032386928980841515,0.05000000000000004,0.25353925380027054,0.10000073596772044,0.6999999999999773,0.08779646733916387,0.8347011501265897,0.07750238253424631,1.0,0.0
0,0.02999999110381013,0.024212699717965292,0.05000000000035379,0.20043060046761688,0.10000000821188423,0.49169237892897905,0.049329040033673825,0.6368383828025403,0.3138325771637859,1.0,0.0
0,0.02999954331164919,0.026455763137899376,0.05000000000000001,0.18076684355157063,0.10000000000000009,0.4797057586574355,0.03408021167372598,0.6160602771313927,0.34985951119488135,1.0,0.0
0,0.029999994385655492,0.04999999982628678,0.05000000002264348,0.15397864414515586,0.10000000012413379,0.43432491735659434,0.0521841746750013,0.5471090109945593,0.4007068143304394,1.0,0.0
0,0.02999998331453462,0.026457369456484,0.05000000017926436,0.05039560770973567,0.1,0.13403457976808555,0.36086186847489105,0.4999784718912518,0.13915965963385718,1.0,0.0
0,0.029999933729533784,0.02013687385758479,0.0500000000000028,0.1230220769314969,0.10000000000000207,0.41720568047412465,0.07324643506685372,0.5723868539707804,0.3543667109623658,1.0,0.0
0,0.02999988459750404,0.04999864424755381,0.05000000028997763,0.10632409878538887,0.10000000055722308,0.346621217685776,0.09298618403931087,0.6541643344404304,0.25284948152025866,1.0,0.0
0,0.02999991152768806,0.03283099511994099,0.050000000003942044,0.10277202742873782,0.10000000000000003,0.4127968834848887,0.03601298755411185,0.4723997311593452,0.491587281286543,1.0,0.0
0,0.029999998952534423,0.03224868135396655,0.05000000389496574,0.14970184032413678,0.10000026914098845,0.4304291024017736,0.08695060200591362,0.5642114876540805,0.34883791034000605,1.0,0.0
0,0.029999981139361635,0.024530877850773226,0.050000029881186764,0.14874114567222452,0.10000000571965509,0.41980619944873904,0.0970795453036921,0.5045980157375815,0.3983224389587263,1.0,0.0
0,0.029999999575728707,0.03623425349122272,0.05000000107305153,0.13919375672234752,0.10000057275202778,0.4217112598629205,0.09112066307124397,0.5107015178897731,0.398177819038983,1.0,0.0
0,0.029999999960773162,0.04999999999699508,0.050000000001717046,0.16052588426615036,0.10000065520074314,0.49309995900584136,0.07655426984124532,0.6183658048485243,0.3050799253102305,1.0,0.0
0,0.029999898111304067,0.034331630365977854,0.05000066164566716,0.14797808408742022,0.10000004053972975,0.4688850652535284,0.07758535556730103,0.5625951400899925,0.3598195043427066,1.0,0.0
0,0.029999992767599973,0.02620705766666007,0.05000000000011342,0.1678629711833959,0.10000005436482143,0.5037672045649507,0.05435172635877667,0.6470829957291352,0.29856527791208815,1.0,0.0
0,0.029999999999813905,0.049999985081829366,0.05000000000000097,0.14487325208720803,0.10000012832837912,0.39161333510255253,0.11657521195230389,0.6858454977094558,0.19757929033824034,1.0,0.0
0,0.029999991078599804,0.03201808574955786,0.050000000007780994,0.1459534281269601,0.10000000000838115,0.4568799217352407,0.051534638689386646,0.5668857651776819,0.3815795961329315,1.0,0.0
0,0.02999996698167231,0.026055006711323322,0.05000000420140342,0.14846990842026675,0.10000000004034888,0.4383780122259125,0.07195128053524774,0.5163509089339626,0.4116978105307896,1.0,0.0
0,0.029995728189064874,0.049950425011662705,0.05000003117895789,0.15780775469417432,0.10004395660320749,0.48050150543426107,0.05065273059878106,0.6344552557718355,0.3148920136293834,1.0,0.0
0,0.029999989127323632,0.027830352691140214,0.05551894609922485,0.04942780948107953,0.10000000488850763,0.13794828854696856,0.3507329256838873,0.42113506068074125,0.22813201363537147,1.0,0.0
0,0.029999940154610303,0.019014038960091677,0.050000000009775905,0.09802859554993298,0.10000000000032586,0.2620303396905183,0.11664015917361131,0.5326582222529433,0.35070161857344545,1.0,0.0
0,0.02999989339408623,0.020892071383817875,0.05000000000002579,0.08214048535245405,0.1,0.2889116941426574,0.08500696548014539,0.5291818788456636,0.38581115567419105,1.0,0.0
0,0.029999919206664633,0.02345524056894079,0.05000002755580197,0.05060657873644027,0.10000000022374707,0.17806924309799693,0.1717216271203877,0.4457767621768859,0.3825016107027264,1.0,0.0
0,0.02999521438520781,0.04999994198324584,0.050983947634488894,0.21135386041847526,0.1495098287552426,0.4793019285058401,0.05889257491860277,0.6999092674942081,0.24119815758718902,1.0,0.0
0,0.029999999999656978,0.02509342418724602,0.05000000000042351,0.1988754495094363,0.1000006997356041,0.4643166294692078,0.06498301515194703,0.6637560485052721,0.2712609363427808,1.0,0.0
0,0.02999999993101929,0.03294507194318498,0.08508488019819241,0.11462526903331328,0.10000000000000014,0.39941983946347825,0.07979955399992746,0.40435354454763717,0.5158469014524353,1.0,0.0
0,0.02999881016204355,0.04999954808097959,0.08328390478008399,0.1219593477532398,0.10000155516997657,0.4000395804991048,0.04344134842722559,0.48551031194039196,0.4710483396323826,1.0,0.0
0,0.029999996057351562,0.0499999999923259,0.06585058314807417,0.13249309102211287,0.10000000807172217,0.38367886718018895,0.05897241804223737,0.4913710838636985,0.44965649809406405,1.0,0.0
0,0.02999998200318961,0.05,0.09999996595679202,0.09708051108417966,0.1,0.415856954385162,0.07609026711917492,0.42713394896069534,0.49677578392012967,1.0,0.0
0,0.029999999998840787,0.049999926100172114,0.050000008125016815,0.19696946499320817,0.10000112912875811,0.4651328166473288,0.0880590169527838,0.5987388532690829,0.3132021297781331,1.0,0.0
0,0.029999999996175315,0.030626394749374026,0.050000000113034335,0.19428334021150234,0.10000031528594557,0.4692419167950631,0.08452379004394163,0.5742353606819833,0.341240849274075,1.0,0.0
0,0.029999981728645406,0.049999999591924374,0.05000000017076635,0.15594242097235228,0.10000000000005702,0.43215697571104533,0.04267075064865095,0.598077189017633,0.35925206033371615,1.0,0.0
0,0.029999997002302874,0.04999997309782706,0.05000000000000477,0.0812574710354231,0.1,0.3595357413631326,0.057469309654915174,0.41394194705881254,0.5285887432862723,1.0,0.0
0,0.029999997057502593,0.049999999367939876,0.05000000001851082,0.11329146381523346,0.1000000195381705,0.3603799775527655,0.12485214001954736,0.6378822467946393,0.2372656131858133,1.0,0.0
0,0.02999997004706694,0.03049134052144655,0.050000000171300615,0.07334808977444832,0.10000000000000753,0.26653755549060054,0.10373793686409573,0.4508818354078275,0.4453802277280768,1.0,0.0
0,0.029999969078344086,0.04209741509568112,0.05000033510845493,0.1104443085450787,0.10000099472578178,0.32563425690904846,0.1500572031227475,0.5625856405263097,0.287357156350943,1.0,0.0
0,0.029999999999985198,0.04999999999999968,0.05000000000004285,0.12681553708474136,0.10000054678776296,0.3445099169540647,0.1450933286945909,0.630912769782482,0.22399390152292697,1.0,0.0
0,0.029999979885684164,0.04999969297443295,0.05000000001614758,0.09952389285304895,0.10000000002959275,0.3048027416106089,0.10534213366134726,0.5723716155073366,0.32228625083131635,1.0,0.0
0,0.02999999390250216,0.03921173277560336,0.0500000215201681,0.09227674531805125,0.1000000008756225,0.33325920709917906,0.13630127774786877,0.5859196557587767,0.2777790664933546,1.0,0.0
