,mu1,lam1,mu2,sigma2,mu3,sigma3,w1,w2,w3,Target,Stimulation
0,0.02999999983313918,0.049999999994452794,0.05000000005976103,0.12725160069455776,0.10000021196055411,0.345059451703287,0.08991794858864761,0.5340112201178877,0.3760708312934648,1.0,0.0
0,0.029999976559327034,0.0499999821275601,0.05000083917549701,0.11268300649254545,0.10000042686996499,0.31941142257401883,0.10594741422587099,0.44475676166740274,0.44929582410672636,1.0,0.0
0,0.029999995408168577,0.0499999999942676,0.050000891958199165,0.12868850345580427,0.10000008273996037,0.3590264496960784,0.12354720435132083,0.5088898648555769,0.3675629307931023,1.0,0.0
0,0.02999999672925176,0.0499999999944642,0.050000000603898524,0.11908133230688744,0.10000014498638388,0.3446518757097582,0.09220672543965984,0.5191906906547996,0.38860258390554053,1.0,0.0
0,0.029999999999945855,0.05,0.050000002346778795,0.15634162216013908,0.10000007946717673,0.42016689962921167,0.13865577099188497,0.6120994960403471,0.24924473296776803,1.0,0.0
0,0.02999997295292547,0.027047958033934855,0.05000000215097144,0.08891738190551633,0.10000000327161274,0.2430786008583146,0.1417983477479055,0.515463644117538,0.34273800813455646,1.0,0.0
0,0.02999999995823897,0.04999999999999977,0.05000000925210781,0.14644188348873335,0.1000001481507223,0.3597539960269119,0.12650109105605756,0.6219515854506446,0.25154732349329784,1.0,0.0
0,0.02999999798871355,0.04999993901131492,0.05000000000125913,0.07070225537097193,0.10000000000000048,0.22832153085798723,0.0974030811483791,0.52127565380609,0.38132126504553093,1.0,0.0
0,0.02999995275027594,0.041610577154815497,0.060041078470153275,0.07560531635436676,0.10000009441339576,0.25439821703493715,0.18728981201869677,0.5510099375186491,0.26170025046265416,1.0,0.0
0,0.029999737286992005,0.030808388207855673,0.05000206914350673,0.05794619443389971,0.10000003345697774,0.21991508782171945,0.15945878969636312,0.41808030777621913,0.42246090252741775,1.0,0.0
0,0.029999999999721493,0.04999999999998807,0.0500000000045459,0.18339279289964056,0.10000341902050738,0.4816638025892089,0.07801119223103961,0.7206106494301878,0.20137815833877254,1.0,0.0
