,mu1,lam1,mu2,sigma2,mu3,sigma3,w1,w2,w3,Target,Stimulation
0,0.03,0.05,0.05000000000000219,0.13816992146414964,0.10000056679232426,0.3556088623620157,0.16517788718129983,0.6453476106332852,0.18947450218541484,1.0,1.0
0,0.029999999892458946,0.049999998929767475,0.05000007760276677,0.0957135620767222,0.10000000009897989,0.3116028600157349,0.1377476726633556,0.5709220317182433,0.2913302956184011,1.0,1.0
0,0.02999999880941947,0.037974114243544146,0.050000009607427794,0.10246049874381735,0.10000003321978337,0.3252641072822786,0.16434072926869162,0.5384142105522197,0.29724506017908864,1.0,1.0
0,0.029999998390703535,0.049999946101564,0.05000005597518144,0.08787485913425688,0.10000000000389218,0.32085140970695614,0.1315232282838098,0.550382570234499,0.31809420148169126,1.0,1.0
0,0.02999999997448792,0.04999999999999996,0.050000000019136445,0.18432212072790968,0.10000018435901666,0.48265657073257273,0.056516896119606176,0.6897398934113962,0.2537432104689977,1.0,1.0
0,0.029999973778461166,0.030178425866466838,0.050000515274488996,0.18440263006641422,0.10000231549920974,0.4524308391121164,0.06849852642998101,0.6596784851515697,0.27182298841844943,1.0,1.0
0,0.029999994632453893,0.04999999999884864,0.05000000004302821,0.16997716297309434,0.10000073536749526,0.4605438462713651,0.04437416930686354,0.623378850254232,0.33224698043890444,1.0,1.0
0,0.03,0.05,0.05,0.2109901497039127,0.1000018512960225,0.4690803024278728,0.054103521181671325,0.670750392173988,0.27514608664434076,1.0,1.0
0,0.02999999226733821,0.049999994279727046,0.050000000171605094,0.15129326782345545,0.1,0.42790709821922374,0.043049846713958846,0.5289528989591364,0.4279972543269047,1.0,1.0
0,0.029999841014748917,0.022963591490854623,0.050000000004447036,0.15610092280685847,0.10000000000000338,0.40836449967167204,0.04633816517965495,0.5768080678629385,0.37685376695740674,1.0,1.0
0,0.029999993940964927,0.036228465527658765,0.05000000644758521,0.2016146823479018,0.10000005926839792,0.5554751643540756,0.07034675559066997,0.683632262865291,0.246020981544039,1.0,1.0
0,0.029999981329226395,0.026426706930198437,0.05000000004771219,0.1887539487829356,0.10000000317922726,0.4933885030210114,0.04971776137659697,0.686018085060757,0.26426415356264604,1.0,1.0
