,mu1,lam1,mu2,sigma2,mu3,sigma3,w1,w2,w3,Target,Stimulation
0,0.019999994916090634,0.02584930257545462,0.04,0.019546950406103405,0.06577872406444593,0.054861329912874,0.5371094277823154,0.2808474466953413,0.1820431255223435,1.0,1.0
0,0.02,0.04,0.03999995190532433,0.07726043622289738,0.04,0.23019124597589613,0.06723397913315704,0.38013620830360023,0.5526298125632427,1.0,1.0
0,0.019999999999999553,0.04,0.03999994477996407,0.08908693963386523,0.04,0.2751471650352765,0.039132891598411615,0.5191609947218718,0.4417061136797167,1.0,1.0
0,0.019999996532480184,0.02568872158054722,0.03999999999999999,0.021209752644722576,0.05786904758853642,0.060879132730549346,0.5390186140333595,0.27319113381832283,0.18779025214831785,1.0,1.0
0,0.019999988136675143,0.02473681694938023,0.04,0.021594470680082536,0.06401370951774579,0.05665709252052131,0.5411728793309233,0.27247647931755464,0.18635064135152213,1.0,1.0
0,0.02,0.04,0.03999996660330631,0.08949216060237868,0.04,0.2523367641495132,0.04251826717939306,0.479247195864666,0.47823453695594087,1.0,1.0
0,0.019999992276962062,0.02690112160442915,0.03999999999998252,0.022965951571112954,0.0400000001252244,0.06983996720796097,0.5176845199011602,0.28977875570208467,0.1925367243967553,1.0,1.0
0,0.02,0.04,0.020000650366927712,0.10914500867165079,0.04,0.2632571995299891,0.06494153636814878,0.5366143491388442,0.398444114493007,1.0,1.0
0,0.019999993581614483,0.02582428642273523,0.03999999999170016,0.019947483452799744,0.06818721981535619,0.05580998414671072,0.5435223660767766,0.27727953770618,0.17919809621704344,1.0,1.0
0,0.02,0.04,0.039999821911930813,0.09093084809461614,0.04,0.23962359673156278,0.08459449175192656,0.4722776999716603,0.44312780827641324,1.0,1.0
0,0.01999999035977876,0.028901336799827232,0.03999999906196431,0.03214835059635611,0.04000000000351224,0.09909026674980032,0.30162932082572974,0.3743776881384564,0.3239929910358138,1.0,1.0
0,0.019999988259110143,0.02839027370746085,0.039999999999825744,0.04178962386812815,0.04000005245756886,0.12686164894769342,0.19086392288789938,0.44469693249954567,0.36443914461255517,1.0,1.0
0,0.01999998329631191,0.026623141004875655,0.04,0.024161512584239035,0.04,0.09584169038611075,0.3176369553631819,0.2921065278016372,0.3902565168351809,1.0,1.0
0,0.01999998450878653,0.028537149066792007,0.039999999999694766,0.0481354376036453,0.040000003281087264,0.14103895777932302,0.19371564605854416,0.4551690342900551,0.3511153196514007,1.0,1.0
0,0.019999401875627182,0.031293768822530946,0.021963879326163983,0.07717632302942716,0.04098908973471545,0.1798190475347417,0.26064494025159246,0.6790937171984114,0.06026134254999604,1.0,1.0
0,0.019999820400993486,0.039998395020507393,0.023142052403119083,0.08749478837296758,0.041530947165438425,0.18422209486725022,0.14729108399035326,0.6253999276383634,0.22730898837128316,1.0,1.0
0,0.019999993460001336,0.027550660964546846,0.03999997405749626,0.041946888777407994,0.040000001048691974,0.11240398824976769,0.2872418648614827,0.46005455259285055,0.2527035825456666,1.0,1.0
0,0.01999996557995409,0.02983878348333857,0.03999999419392656,0.03470376271161688,0.04000000000000023,0.11457282054096185,0.21324632954974557,0.40408932041145823,0.3826643500387963,1.0,1.0
0,0.02,0.02739609738999551,0.039999859307268223,0.06893237257284189,0.04000000000095812,0.19753524053329022,0.16134498439573955,0.5815462071582731,0.25710880844598744,1.0,1.0
0,0.019999972647971646,0.030388188453957375,0.039999999998353554,0.03297524595429743,0.040000163235536505,0.10680861512765152,0.27684039946185773,0.3924028405859605,0.33075675995218173,1.0,1.0
0,0.019999876015509167,0.02896224836920348,0.03999999775746908,0.03159107212442037,0.040000536301766504,0.10054608704240549,0.2766311499490364,0.3883597022105593,0.33500914784040436,1.0,1.0
0,0.02,0.025662491852417094,0.039999858743339736,0.06656361027627045,0.04,0.19179255888693453,0.10358195317588424,0.4506649611284281,0.4457530856956878,1.0,1.0
0,0.0199996656678532,0.02873589621952098,0.04,0.03325842359759447,0.07677491782325478,0.08095345930563998,0.2955755694188586,0.4250545658808883,0.2793698647002531,1.0,1.0
0,0.02,0.04,0.039999960575475495,0.06545269338773549,0.04,0.1943374609809068,0.07557078795753147,0.4747173877882592,0.44971182425420936,1.0,1.0
0,0.02,0.04,0.020004196933817733,0.10410592268631436,0.04000000003822702,0.2688983104637261,0.1161300910596724,0.7251615394814427,0.15870836945888495,1.0,1.0
0,0.019999975950595408,0.028323658977951194,0.03999999946911194,0.0392793050629609,0.04000003183594258,0.11194429102590275,0.28824753007299664,0.4601201553554547,0.2516323145715488,1.0,1.0
0,0.019999969909464635,0.026727790479940266,0.04,0.0354802707808196,0.04000000000000004,0.10551993857580727,0.28279177103007136,0.4529107900168204,0.2642974389531083,1.0,1.0
0,0.02,0.04,0.0399999758026222,0.05845580009821484,0.04,0.1849426626648128,0.11285802138749831,0.45207172637595533,0.43507025223654633,1.0,1.0
0,0.019999983944930834,0.0252113205115214,0.03999999999999999,0.027456356709635164,0.04000000000000622,0.09256315246137903,0.2746436690691533,0.2985301098983188,0.42682622103252804,1.0,1.0
0,0.02,0.029325181153689345,0.038554214892077415,0.07033972704325332,0.04,0.17870753003570694,0.16716671357776489,0.6042845399669309,0.22854874645530418,1.0,1.0
0,0.019999986633623318,0.025696697270606157,0.04,0.03802717306626516,0.04,0.10358579066262473,0.2916177138185927,0.3894181707834161,0.31896411539799113,1.0,1.0
0,0.02,0.02983792397911249,0.03999971646704028,0.0769065496176662,0.04,0.19803905218562656,0.1162745405524917,0.5133358974169827,0.37038956203052553,1.0,1.0
0,0.02,0.04,0.039999629535081245,0.07431805583377384,0.04,0.22470227027806466,0.10430076981887622,0.5628644160951692,0.3328348140859545,1.0,1.0
0,0.0199999857853836,0.025990277634214375,0.04,0.023575587199953313,0.04,0.091520218734713,0.3030156613236159,0.2889681095954899,0.40801622908089413,1.0,1.0
0,0.019999987190632437,0.023711051469925578,0.0399999990128921,0.023563965381001743,0.04000000000027608,0.09367382732339703,0.2948736047811864,0.30839790486982854,0.39672849034898505,1.0,1.0
0,0.02,0.03297281252497767,0.03999943497768338,0.07322633670942236,0.04,0.1874807715256867,0.14962731542472943,0.492572318163197,0.35780036641207347,1.0,1.0
0,0.019999991771221696,0.029014333861671786,0.04,0.03909761346169182,0.04000004051294215,0.11325270249581718,0.24718665536820542,0.41674507565692437,0.3360682689748703,1.0,1.0
0,0.02,0.025638195102343886,0.03999973075743857,0.08892804355126191,0.04,0.22302638616675968,0.12615598565605785,0.626886618687173,0.24695739565676927,1.0,1.0
0,0.02,0.04,0.03999996740735004,0.07187675637598995,0.04,0.19569433505782355,0.11000760004016057,0.4753163830286008,0.4146760169312387,1.0,1.0
0,0.019999993467700615,0.02475832487384053,0.04,0.03660415236906274,0.04,0.10866304295831246,0.27489185472911976,0.45223681924403586,0.2728713260268442,1.0,1.0
0,0.019999993792202773,0.03019713385958936,0.04,0.03350240269569408,0.040000000000000493,0.10035554724283505,0.30653532033909303,0.33481093369944526,0.3586537459614618,1.0,1.0
0,0.01999999660623038,0.028084316471423856,0.03999993645563947,0.03577071188617679,0.04000000002698802,0.0980096241686694,0.28683027303306324,0.35040690065063235,0.36276282631630447,1.0,1.0
0,0.019999783696062402,0.029804462654322593,0.03999999999960991,0.04240363776283049,0.07605939008388174,0.0917150371831642,0.29103004452892656,0.48601637105803874,0.22295358441303473,1.0,1.0
0,0.019999984799960218,0.02708905901389363,0.04,0.03822144791909832,0.04,0.10891411604461558,0.25551072291617843,0.38463716644424206,0.3598521106395796,1.0,1.0
0,0.02,0.028024683435547947,0.039999938091959404,0.052034497579954576,0.04,0.13976406249524564,0.2120618852975239,0.5435549639300973,0.24438315077237882,1.0,1.0
