,mu1,lam1,mu2,sigma2,w1,w2,Target,Stimulation
0,0.03102695052891069,0.024090980179037883,4.39944829028422e-06,0.05906272021110912,0.6332580678525401,0.3667419321474599,0.0,0.0
0,0.030659497225674723,0.02476541000409776,3.948738234739561e-12,0.05977045194637859,0.6846601885370963,0.31533981146290363,0.0,0.0
0,0.03292458508651549,0.024069724923197363,0.04802268706602339,0.026694362922391003,0.7736048011870761,0.22639519881292397,0.0,0.0
0,0.0331751151284999,0.02311464184890893,0.04681547510337922,0.029019645495685142,0.7801104697669551,0.2198895302330448,0.0,0.0
0,0.04568455082969605,0.026881646936747498,0.000106092701038249,0.08231741533039645,0.5591700179555353,0.4408299820444646,0.0,0.0
0,0.0445587292090579,0.026782016988600714,0.033036049440022565,0.07881303012183138,0.5343845973718021,0.4656154026281978,0.0,0.0
0,0.053675658893501156,0.027549270204537943,0.05405234844973224,0.058015959000502604,0.6300634443597075,0.3699365556402924,0.0,0.0
0,0.051326976183600284,0.027511405506113223,0.015997063500575136,0.08799330751362339,0.5226015762163914,0.47739842378360864,0.0,0.0
0,0.04917865497742855,0.027930667527566056,0.05118603080942244,0.059941521827077716,0.6044950562885469,0.39550494371145306,0.0,0.0
0,0.06657317880869408,0.030174793633556827,0.02362258396528997,0.10302149606684416,0.46023304318424446,0.5397669568157556,0.0,0.0
0,0.05821168392776536,0.029526198047066198,0.00311136414500786,0.11188065916881491,0.4006370437788117,0.5993629562211884,0.0,0.0
0,0.06330699754484817,0.033959196500324494,1.6601497635078124e-07,0.12980501884156978,0.4497226057271006,0.5502773942728995,0.0,0.0
0,0.07365485398120473,0.026754317927112154,2.706528952615945e-07,0.13171360078663147,0.3614070747892329,0.638592925210767,0.0,0.0
0,0.09457215459004469,0.03782945553694669,1.3190471720177873e-07,0.15610453197307905,0.3930531324137002,0.6069468675862997,0.0,0.0
0,0.07675474575476834,0.033550998614854284,1.4927192473833777e-06,0.12461506564613441,0.42285158080624735,0.5771484191937527,0.0,0.0
0,0.07870975981736415,0.032704404256354826,4.948710923747242e-07,0.11702981269776139,0.40902087332889825,0.5909791266711018,0.0,0.0
0,0.06854374927245872,0.03317301443392513,2.188868063630157e-07,0.12891634699259744,0.4272419302756875,0.5727580697243125,0.0,0.0
0,0.06652018542862743,0.02812669181453048,2.1819320807229327e-07,0.12528449750439202,0.453770161659707,0.5462298383402929,0.0,0.0
0,0.0728988699769132,0.03142693217662075,7.799699579990861e-07,0.12298892950632312,0.42219318208911555,0.5778068179108844,0.0,0.0
0,0.060876809638189505,0.02909048996179075,0.0018831190555697102,0.1185910031079613,0.416580401233333,0.5834195987666672,0.0,0.0
0,0.058869295668612376,0.02723382278711007,1.7427219186926898e-07,0.1254262168935593,0.4035533593187036,0.5964466406812964,0.0,0.0
0,0.07298587435693109,0.03400147783680728,0.004967654423344071,0.11120725808926092,0.42618150830484636,0.5738184916951536,0.0,0.0
