,mu1,lam1,mu2,sigma2,mu3,sigma3,w1,w2,w3,score,Target,Stimulation
0,0.023855924037307463,0.02344791054911144,0.07770016311847533,0.13108554942392447,0.3922067077958612,0.3583593583558305,0.999999960345977,2.3077651000029826e-08,1.6576371878100565e-08,0.04396777832985743,0.0,1.0
0,0.022848951964111068,0.023224600322682712,0.07878762595319905,0.1381965723199245,0.3890937982888707,0.36184534488332437,0.9999999179302391,6.417347037391658e-08,1.7896290449082003e-08,0.043837011165468565,0.0,1.0
0,0.023034605900004584,0.02332647878778071,0.07774760528918673,0.1303192464540261,0.3894376926554263,0.36118297993218956,0.9999999730181407,1.973742752615294e-08,7.244431645390313e-09,0.04236398969294608,0.0,1.0
0,0.022547325184326613,0.023179567105176817,0.07974724111177135,0.14631390055568105,0.3916314471251901,0.3593389094152668,0.9999999058296569,6.315059662558809e-08,3.101974654790127e-08,0.04049776156475271,0.0,1.0
0,0.02342769996176963,0.02332193169747413,0.0782397779123778,0.13070209811042066,0.39082942267623877,0.35931270483391653,0.9999999322316332,4.1977505812287694e-08,2.579086100631095e-08,0.04854996346099183,0.0,1.0
0,0.03088412626956426,0.02568093539720903,0.07195669922849288,0.08270452424823789,0.38749233622775947,0.35828390898640994,0.9999998902799898,8.665131955778029e-08,2.3068690637450818e-08,0.061044976583602306,0.0,1.0
0,0.030936668810626525,0.0251487844956668,0.06952448894391773,0.06911405270634415,0.38726417761588333,0.35794764205861207,0.9999999825168221,1.2261712042970685e-08,5.221465733245158e-09,0.06447292672036387,0.0,1.0
0,0.029555748050119603,0.02513990704291239,0.06691383218787635,0.06012816659059923,0.38596713709122776,0.35570580776973637,0.9999999224904714,7.350664438889542e-08,4.002884190443167e-09,0.05940719538887934,0.0,1.0
0,0.03197002603825607,0.026428559159477397,0.06985897541142964,0.07524295328341482,0.38579537460522095,0.35792313193485387,0.9999998381033226,1.5022953775116777e-07,1.1667139655669698e-08,0.0629112072863316,0.0,1.0
0,0.03079549046698469,0.025990007099468866,0.07187647260488868,0.08118294687571756,0.38762992659781204,0.3577300618335971,0.9999999092531009,7.266012951668285e-08,1.8086769475808374e-08,0.06254912802607382,0.0,1.0
0,0.03937689040793462,0.02472008142278807,0.053123375275901656,0.048315483560757086,0.35301927858540716,0.3218754807806779,0.6387551940270422,0.3612447977079738,8.264984129524953e-09,0.07603480409487728,0.0,1.0
0,0.03996818678819832,0.0234890961790751,0.04909204159718769,0.04209429190170405,0.3528361826668063,0.3215118052722863,0.6498598461948913,0.35014014889283707,4.912271656743636e-09,0.06697292450441339,0.0,1.0
0,0.04568861040594548,0.02635054848556543,0.05404163796742672,0.04654146431648292,0.3455589762861634,0.3006339667787643,0.6868124383481853,0.31318755419898725,7.452827330326438e-09,0.06198513416793511,0.0,1.0
0,0.04475799945015822,0.02611357163063755,0.051344321621377746,0.04874403123965555,0.3438308125789194,0.28712892484630725,0.6439019245819341,0.35609806466027405,1.075779185975342e-08,0.08096502204885603,0.0,1.0
0,0.05017910232838612,0.02617940954543067,0.05387513303384509,0.0575001388011937,0.3325478813449211,0.2425219521406208,0.6152265665708494,0.3847734220410134,1.1388137117610862e-08,0.08591230197595501,0.0,1.0
0,0.048531465962052565,0.02594365929363095,0.04744550374474013,0.06389899183358506,0.3351782652781848,0.24756366717356518,0.5668759726250084,0.43312401125846345,1.6116528105009195e-08,0.1203942919529376,0.0,1.0
0,0.044503762072456515,0.02481112632485426,0.05557719662734592,0.04684241937814602,0.34509855342848905,0.29196450296863846,0.6712001203545642,0.32879987420541446,5.4400211741429614e-09,0.0652508936105054,0.0,1.0
0,0.036114882261602366,0.02384334357303883,0.04917632868647207,0.04299149311702315,0.3571243077664358,0.33273199198083264,0.6734271025492058,0.32657289071685147,6.733942756190151e-09,0.06678178877132696,0.0,1.0
0,0.04053589060752321,0.024568260245985445,0.05135750444361459,0.035053324382924286,0.3567312742049519,0.3357315448461456,0.7268670706078648,0.2731329191291171,1.0263018205751474e-08,0.048908395656945214,0.0,1.0
0,0.043553876207006986,0.025423127368402503,0.05449580181088796,0.044631710142296825,0.34646791012448036,0.29187295974475425,0.6826850474207857,0.31731494364887214,8.930341949038026e-09,0.06314446729638318,0.0,1.0
0,0.039213055941142855,0.024765686305679598,0.049747650836758375,0.049756884467036855,0.355217288658701,0.3240946617184598,0.679932956879635,0.32006701618673794,2.6933627173117945e-08,0.07686115709247171,0.0,1.0
0,0.03428916698135984,0.026652713613515247,0.06677283205933415,0.051435684681598814,0.38869656461463803,0.35297652631007914,0.9999997349249855,1.8749794110929793e-07,7.757707325585425e-08,0.06274823885794384,0.0,1.0
0,0.03263073447098609,0.027496512488127685,0.06645414974048287,0.05261877007680589,0.3891600983911456,0.3538373431970959,0.9999999800490729,1.1396602116997766e-08,8.554325149943707e-09,0.05742890793810895,0.0,1.0
0,0.03191246803494501,0.02642833160835298,0.06832696377618477,0.06231036209113728,0.38665806973148253,0.35751593327998205,0.9999999671592694,2.490843155353252e-08,7.9322989038118e-09,0.06036377587150399,0.0,1.0
0,0.021424418863665598,0.0231652189098103,0.08224925855325972,0.1673025722582899,0.3908301470787865,0.36055849608595125,0.9999992758249665,6.040530487459253e-07,1.2012198476349002e-07,0.0346034540081096,0.0,1.0
0,0.02156684387612566,0.02333020736651917,0.08030858350762599,0.15195392966006663,0.390767186428169,0.3605213221524061,0.9999999518520516,3.6084709667842e-08,1.206323862997544e-08,0.03966341627062597,0.0,1.0
0,0.02160283386122638,0.022958409073302852,0.07874604874151026,0.13701086883170485,0.3915581528467668,0.35863190212668056,0.999999957258749,3.105876951378565e-08,1.1682481445872392e-08,0.03795531653502071,0.0,1.0
0,0.02150888609789658,0.023050519712419473,0.08109743959706833,0.16179990061402943,0.39101374133167643,0.3609423049261699,0.9999999296420027,5.1281551453572255e-08,1.9076445880918895e-08,0.043513875951475156,0.0,1.0
0,0.021291776849466305,0.023105400111557987,0.07679494333857236,0.12420491665347827,0.392183969951875,0.35784223688825473,0.999999994905677,3.363657848864161e-09,1.7306650953190419e-09,0.037740441730542584,0.0,1.0
0,0.02190419808481995,0.02352934469558377,0.07832341626650596,0.13784946003868434,0.3910827714718409,0.3599699239083047,0.9999999920278239,5.621803820009928e-09,2.350372313165386e-09,0.03872705294124501,0.0,1.0
0,0.032116763124527346,0.02678946449264547,0.0720345334818973,0.0839640562493888,0.3873037272114024,0.35837045430526,0.9999996404239279,3.126091964981695e-07,4.6966875780688426e-08,0.05864386735510502,0.0,1.0
0,0.021592711882998362,0.023139561594051523,0.07761476703851573,0.1329841630296055,0.39170415517409357,0.3591822334503872,0.9999999948044211,3.3108168326328978e-09,1.8847619730306743e-09,0.04072443975368867,0.0,1.0
0,0.02122281128883091,0.022767467757299098,0.0777801011825576,0.1346020753239023,0.390621447917276,0.3605340778703263,0.9999999894710528,8.01957025220422e-09,2.509377001313161e-09,0.0420497009933386,0.0,1.0
0,0.0210785678623732,0.022964976955555168,0.07818479779000385,0.1341363763305897,0.3906250217330495,0.35973812894975277,0.9999999882513574,9.002174333400656e-09,2.7464682837752777e-09,0.0337303435068832,0.0,1.0
0,0.02748376813373883,0.025104550323837998,0.07363656483069518,0.091963793989419,0.38743909183789205,0.35786042682015073,0.9999999898343027,6.922397137693751e-09,3.243300266664292e-09,0.048719015262703946,0.0,1.0
0,0.02950433914137976,0.026149914106429605,0.06943057352916338,0.07059216389364825,0.389689908762384,0.35529410561709945,0.9999999845188707,1.1069425617577063e-08,4.411703669190059e-09,0.05605776995908962,0.0,1.0
0,0.03127281528988248,0.026335653740727792,0.07120051126135704,0.0830173994599416,0.3868055424531622,0.35941898633878266,0.9999997891172504,1.844224470122224e-07,2.6460302516507983e-08,0.05786402440822558,0.0,1.0
0,0.03135933134868268,0.026216249256146094,0.07168077415536606,0.08094990458101813,0.388549342209108,0.35706251799115113,0.9999998832025997,8.296459425969106e-08,3.3832806242200184e-08,0.060611660551841084,0.0,1.0
0,0.04145173074052707,0.025045448858169755,0.053760149223642285,0.04566622073050641,0.35749522149392426,0.3268265495495496,0.6685463751574819,0.3314535519273737,7.291514422574719e-08,0.06996725926682124,0.0,1.0
0,0.041031704436601306,0.025916139771011273,0.04886628297749389,0.054187844771456314,0.35001628989024813,0.31135860055763137,0.6543075936245227,0.34569239781277017,8.562706916008899e-09,0.08640144377277653,0.0,1.0
0,0.04530268620187657,0.028109108176328182,0.032914859136120654,0.06977606912348819,0.34069565677315794,0.26618314448543257,0.5912060574720004,0.40879393043536505,1.209263447117152e-08,0.14424788021462917,0.0,1.0
0,0.04399077152505123,0.026210165157900256,0.050220627946725487,0.05168314965292399,0.3490668544818098,0.3147158424965903,0.6544596096831296,0.34554038225996436,8.056906092410445e-09,0.08398956635790933,0.0,1.0
0,0.039845508697319496,0.025021726865140932,0.051895797534092736,0.044848679100970575,0.3531089031798162,0.32097696928471137,0.674829692035259,0.32517030026098104,7.70375998606999e-09,0.0649273108298189,0.0,1.0
0,0.04678495537773293,0.02599573795573381,0.04413484717077508,0.05817158775561135,0.3411782021971481,0.2743575432183677,0.6343586450942623,0.3656413440216373,1.0884100486310205e-08,0.10737340887880648,0.0,1.0
0,0.042773039383629495,0.0261806063118508,0.05430744554743823,0.044496117730889496,0.3487397759647966,0.30835831105005196,0.6690589562870861,0.3309410367523307,6.960583091949524e-09,0.0641853277783595,0.0,1.0
0,0.045643765784046574,0.025288712501425472,0.049246243334758945,0.05122455787811443,0.3435434764681359,0.2844833159766951,0.6110145517049465,0.3889854334873208,1.480773260823288e-08,0.09033776608895988,0.0,1.0
0,0.0428562575348561,0.02640676615359574,0.025902745356883257,0.07675280132694973,0.34348769252456046,0.2773703863466418,0.5850545248916182,0.4149454547751775,2.0333204370634168e-08,0.16807785803189906,0.0,1.0
0,0.043015602566286476,0.024743392024476212,0.05196598016200556,0.04240610310201484,0.35578811183644443,0.3186041403302528,0.6478841714960444,0.35211574281567676,8.56882788012244e-08,0.06538879191732477,0.0,1.0
0,0.04066326704561396,0.026653333661463986,0.045603238869209306,0.0496028260640744,0.3521830773215663,0.3208871669918355,0.6498527707973599,0.35014722293104866,6.271591381136722e-09,0.08932466720597398,0.0,1.0
0,0.034768072372586986,0.027174635958420196,0.06113143682511649,0.04028649666940624,0.3897889786445275,0.349704687358728,0.9999991913904916,6.933828398418457e-07,1.1522666845864779e-07,0.06580245064418777,0.0,1.0
0,0.032344756845760346,0.02592980867815391,0.06889066121257237,0.06570035749728961,0.3862685810208807,0.35664124832853433,0.9999998171431049,1.5839695744863954e-07,2.445993758663305e-08,0.05957535745319287,0.0,1.0
0,0.02396478669567652,0.023778226872343378,0.07304104573432905,0.1027307432152392,0.3901962125835008,0.35914424132275374,0.9999999542504433,3.935908780011546e-08,6.390469077628916e-09,0.04350828329945611,0.0,1.0
0,0.031002615686337234,0.026486056297034648,0.07089408167971525,0.08804055596105963,0.38689234726939337,0.36039080385814903,0.9999997962086016,1.7934749276497812e-07,2.4443905742662838e-08,0.058916245312414794,0.0,1.0
0,0.023427811105784062,0.023805225742116205,0.08119323852026608,0.15681855555074745,0.391001291272822,0.36020120858769095,0.9999996294120342,2.591203696745793e-07,1.114675960426072e-07,0.04316552213892155,0.0,1.0
0,0.02315701315683215,0.023240704416341483,0.07860715998323031,0.13674340238579308,0.38967342560897333,0.3611248567158647,0.999999942310638,4.147697528804712e-08,1.6212386768581656e-08,0.045776513556637366,0.0,1.0
0,0.02331202690240844,0.023394306933223794,0.0764733226442009,0.11863110017215095,0.3904168536301502,0.35937360202724367,0.9999999896113841,6.260313228525531e-09,4.128302510788086e-09,0.04000778633433655,0.0,1.0
0,0.024884671007789988,0.02346028398302783,0.07575759723503422,0.11303740480638484,0.38895161036046894,0.3605477518950871,0.9999999144973222,6.62643306101272e-08,1.9238347306224805e-08,0.051665152275924164,0.0,1.0
0,0.028703958450909606,0.025536073725093106,0.07421143200000792,0.09454095486876612,0.38882337209458473,0.356875882504966,0.9999998392385142,1.2059505691019553e-07,4.016642873692176e-08,0.05945086633228169,0.0,1.0
